License Number,Pet Shop Name,Address
AS05B1623,PET LOVERS CENTRE PTE. LTD.,"21, CHOA CHU KANG AVE 4, #B1-, 19, LOT 1 SHOPPERS' MALL, 689812"
AS10L00046,PET LOVERS CENTRE PTE. LTD.,"23, SERANGOON CENTRAL, #04-, 03, NEX, 556083"
AS14K00101,PET LOVERS CENTRE PTE. LTD.,"11, TANJONG KATONG ROAD, #B1-, 18, ONE KM, 437157"
AS15H00021,PET LOVERS CENTRE PTE. LTD.,"200, VICTORIA STREET, #B1-, 27, BUGIS JUNCTION, 188021"
AS07K00058,PET LOVERS CENTRE PTE. LTD.,"68, ORCHARD ROAD, #B2-, 19A, PLAZA SINGAPURA, 238839"
AS08G00025,PET LOVERS CENTRE PTE. LTD.,"80, MARINE PARADE ROAD, #B1-, 13, PARKWAY PARADE, 449269"
AS04F1517,PET LOVERS CENTRE PTE. LTD.,"10, KENSINGTON PARK ROAD, 557262"
AS11D00017,PET LOVERS CENTRE PTE. LTD.,"725, EAST COAST RD, 459072"
AS14L00104,PET LOVERS CENTRE PTE. LTD.,"33, SENGKANG WEST AVE, #B2-, 12, THE SELETAR MALL, 797653"
AS15D00013,PET LOVERS CENTRE PTE. LTD.,"3, TEMASEK BOULEVARD, #02-, 722, SUNTEC CITY MALL, 038983"
AS13B00009,PET LOVERS CENTRE PTE. LTD.,"139, TAMPINES ST 11, #01-, 94, 521139"
AS09E00015,PET LOVERS CENTRE PTE. LTD.,"4, TAMPINES CENTRAL 5, #B1-, 25 / 26, TAMPINES MALL, 529510"
AS14G00011,PET LOVERS CENTRE PTE. LTD.,"11, TAMPINES ST 32, #01-, 08, 529287"
AS12E00019,PET LOVERS CENTRE PTE. LTD.,"301, UPPER THOMSON RD, #01-, 74, THOMSON PLAZA, 574408"
AS10B00012,PET LOVERS CENTRE PTE. LTD.,"177, TOA PAYOH CENTRAL, #01-, 116, 310177"
AS11B00012,PET LOVERS CENTRE PTE. LTD.,"491, RIVER VALLEY ROAD, #01-, 14A, VALLEY POINT, 248371"
AS09C00008,PET LOVERS CENTRE PTE. LTD.,"154, WEST COAST ROAD, #02-, 09, WEST COAST PLAZA, 127371"
AS11H00032,PET LOVERS CENTRE PTE. LTD.,"30, WOODLANDS AVE 1, #01-, 16/ 17, THE WOODGROVE, 739065"
AS18M00002,PET LOVERS CENTRE PTE. LTD.,"1, NORTHPOINT DRIVE, #B1-, 113, NORTHPOINT CITY, 768019"
AS16B00008,PET LOVERS CENTRE PTE. LTD.,"1, PASIR RIS CENTRAL STREET 3, #B1-, 13, WHITE SANDS, 518457"
AS20H00030,PET LOVERS CENTRE PTE. LTD.,"494, CHANGI ROAD, LEVEL 1, 419901"
AS18H00033,PET LOVERS CENTRE PTE. LTD.,"221, BOON LAY PLACE, #02-, 118, BOON LAY SHOPPING CENTRE, 640221"
AS20F00022,PET LOVERS CENTRE PTE. LTD.,"793, BUKIT TIMAH ROAD, #01-, 01, 269765"
AS22K00064,PET LOVERS CENTRE PTE. LTD.,"1, JALAN ANAK BUKIT, #B2-, 07, BUKIT TIMAH PLAZA, 588996"
AS19H00038,PET LOVERS CENTRE PTE. LTD.,"133, NEW BRIDGE ROAD, #B1-, 05, CHINATOWN POINT, 059413"
